,,,,,,,,,Prospective Consumer as on 01.09.14,,,,,,,,,,
GOMD,TSC,Sub-Station,Consumer,Initial CD(MVA),Final CD (MVA),Application Date,Feasibility request Received,Feasibility request Sent,Feasibility Report Received,Feasibility Report sent,Detail request Received,Detail request Sent,Detail  Report Received,Detail  Report sent,Latest Status,From,Sent To,Date,Remark
GOMD-IV,TSC-III,Ramgarh,"CCL, Barkakhana ",2,2,26.12.2007,17/04/13,20.04.13 26.08.13 14.01.15,,,,,,,Feasibility Requested,CE(TSC),SE(W/Z),20/04/13,Revised survey requested. Previous report was not feasible REMINDER
GOMD-V,TSC-IV,GOLA,Vishal Sponge Pvt. Ltd,0.5,1.5,21/10/11,14/04/12,16/04/12,,,,,,,Feasibility Requested,CE(TSC),SE(W/Z),16/04/12,could not be contacted.
GOMD-V,TSC-IV,GOLA,Yash Alloys Pvt. Ltd. - Unit-II,10,18,30.10.2009,,,25/06/10,28/06/10,,,,,Feasibility Report ,CE(TSC),CE(PSR),28/06/10,As per site i/c there is no construction activities in their site and they are least interest about drawing of power. Report awaited from DCE(W/Z)
GOMD-V,TSC-IV,GOLA,JSEB (Chargi),10,10,23.07.2009,,16/02/10,04/02/10,16/02/10,,,,,Feasibility Report ,CE(PSR),CE(Coml.),04/02/11,no further advice received
GOMD-V,TSC-IV,GOLA,Kameshwar Alloys & Steels Pvt. Ltd.,7.5,7.5,10.06.2009,,,,,01/09/14,24.10.11 01.09.14 14.11.14,,,Detail Report,CE(Coml.),Consumer,20.01.15,
GOMD-V,TSC-IV,HAZARIBAGH,JSEB (Ichak),5,5,23.06.2009,,,,,,,,,Silent,CE(Coml.),Consumer,08/07/09,Coml./PS/JSEB(Hazaribagh)/1068
GOMD-V,TSC-IV,HAZARIBAGH,"JSEB, Kedarari",10,10,23/06/09,,,,,,,,,Silent,CE(Coml.),Consumer,08/07/09,Coml./PS/JSEB(Hazaribagh)/1070
GOMD-V,TSC-IV,HAZARIBAGH,JSEB(Katkamsandi),5,5,23/06/09,,,,,,,,,Silent,CE(Coml.),Consumer,08/07/09,Coml./PS/JSEB(Hazaribagh)/1071
GOMD-V,TSC-IV,HAZARIBAGH,Jharkhand Integrated Power Ltd.,1,14.8,,01/09/12,12.09.12 16.10.12,,,,,,,Feasibility Report ,CE(TSC),CE(PSR),11/01/12,Not feasible. As RL-25KM and passes through RF & PF
GOMD-V,TSC-IV,KODERMA,Tirupati Ingots Private Limited,2.7,2.7,02.08.2005,,,,24/09/05,,,,,Feasibility Report ,CE(TSC),CE(PSR),24/09/05,CE/TSC/NS-TIPL/2281
GOMD-V,TSC-IV,KODERMA,Ram Janki Electrocasting Pvt. Ltd.,1.25,1.25,17.01.2007,,,,,,,,,Silent,CE(Coml.),Consumer,19/12/07,Coml./PS/Koderma/3001
GOMD-V,TSC-IV,KODERMA,JSEB (Jainagar),5,5,19.06.2009,,,,,,,,,Silent,CE(Coml.),Consumer,08/07/09,Coml./PS/JSEB(jainagar)/1069
GOMD-V,TSC-IV,KODERMA,JSEB (Chandwara),5,5,19.06.2009,,,,,,,,,Silent,CE(Coml.),Consumer,13/07/09,Coml./PS/JSEB(Chandwara)/1123
GOMD-V,TSC-IV,KODERMA,JSEB (Markachho),5,5,19.06.2009,,,,,,,,,Silent,CE(Coml.),Consumer,13/07/09,Coml./PS/JSEB(Markachho)/1113
GOMD-V,TSC-IV,KODERMA,JSEB(Doiyadih),5,5,08.06.2009,,,,,,,,,Feasibility Report,CE(Coml.),Consumer,17/02/12,Coml./PS/JSEB-Doiyadih/Koderma
